400374	"Base.arg_gen(Base.#arg_gen, String, String, Vararg{String, N<:Any})"
116699	"Base.arg_gen(Base.#arg_gen, Base.Cmd)"
367650	"Base.#call#398(Base.##call#398#399, Bool, Void, String, Bool, Bool, Bool, Type{T<:Any}, Base.Cmd)"
284066	"Base.#pipeline#407(Base.##pipeline#407, Void, Void, Base.TTY, Bool, Function, Base.Cmd)"
96836	"Base.redir_err(Base.#redir_err, Base.Cmd, Base.TTY)"
498641	"Base.open(Base.#open, Base.CmdRedirect, String, Base.TTY)"
116623	"Base.spawn_opts_swallow(Base.#spawn_opts_swallow, Tuple{Base.Pipe, Base.TTY, Base.TTY})"
380321	"Base.#spawn(Base.#kw##spawn, Array{Any, 1}, Base.#spawn, Base.CmdRedirect, Tuple{Base.Pipe, Base.TTY, Base.TTY}, Bool, Bool)"
207167	"Base.#spawn#408(Base.##spawn#408, Base.Nullable{Base.ProcessChain}, Function, Base.CmdRedirect, Tuple{Base.Pipe, Base.TTY, Base.TTY}, Bool, Bool)"
369994	"Base.#spawn(Base.#kw##spawn, Array{Any, 1}, Base.#spawn, Base.Cmd, Tuple{Base.Pipe, Base.TTY, Base.TTY}, Bool, Bool)"
660158	"Base.Type(Type{Base.Process}, Base.Cmd, Ptr{Void}, Base.Pipe, Base.TTY, Base.TTY)"
1319359	"Base._jl_spawn(Base.#_jl_spawn, String, Array{String, 1}, Ptr{Void}, Base.Process, Base.PipeEndpoint, Base.TTY, Base.TTY)"
102440	"Base.setup_stdio(Base.#setup_stdio, Base.##412#413{Base.Cmd, Ptr{Void}, Base.Process}, Tuple{Base.Pipe, Base.TTY, Base.TTY})"
140066	"Base.#spawn#411(Base.##spawn#411, Base.Nullable{Base.ProcessChain}, Function, Base.Cmd, Tuple{Base.Pipe, Base.TTY, Base.TTY}, Bool, Bool)"
699488	"Base.Serializer.should_send_whole_type(Base.Serializer.#should_send_whole_type, Base.Serializer.SerializationState{Base.Pipe}, DataType)"
525266	"Base.Serializer.serialize_cycle(Base.Serializer.#serialize_cycle, Base.Serializer.SerializationState{Base.Pipe}, TypeName)"
375225	"Base.Serializer.serialize(Base.Serializer.#serialize, Base.Serializer.SerializationState{Base.Pipe}, SimpleVector)"
237150	"Base.Serializer.serialize(Base.Serializer.#serialize, Base.Serializer.SerializationState{Base.Pipe}, Bool)"
260646	"Base.Serializer.serialize_typename(Base.Serializer.#serialize_typename, Base.Serializer.SerializationState{Base.Pipe}, TypeName)"
37516	"Base.Serializer.serialize(Base.Serializer.#serialize, Base.Serializer.SerializationState{Base.Pipe}, TypeName)"
260152	"Base.Serializer.serialize_mod_names(Base.Serializer.#serialize_mod_names, Base.Serializer.SerializationState{Base.Pipe}, Module)"
76953	"Base.Serializer.serialize(Base.Serializer.#serialize, Base.Serializer.SerializationState{Base.Pipe}, Module)"
151265	"Base.Serializer.serialize_type_data(Base.Serializer.#serialize_type_data, Base.Serializer.SerializationState{Base.Pipe}, DataType, Bool)"
33385	"Base.Serializer.serialize(Base.Serializer.#serialize, Base.Serializer.SerializationState{Base.Pipe}, DataType)"
252421	"Base.Serializer.serialize(Base.Serializer.#serialize, Base.Serializer.SerializationState{Base.Pipe}, Int64)"
118206	"Base.Serializer.serialize(Base.Serializer.#serialize, Base.Serializer.SerializationState{Base.Pipe}, Any)"
384029	"Base.Serializer.serialize_type(Base.Serializer.#serialize_type, Base.Serializer.SerializationState{Base.Pipe}, DataType)"
245391	"Base.Serializer.serialize_any(Base.Serializer.#serialize_any, Base.Serializer.SerializationState{Base.Pipe}, Any)"
993518	"Base.Serializer.serialize(Base.Serializer.#serialize, Base.Serializer.SerializationState{Base.Pipe}, Tuple{Int64})"
311581	"Base.Serializer.serialize(Base.Serializer.#serialize, Base.Serializer.SerializationState{Base.Pipe}, Array{String, 1})"
742064	"Base.write(Base.#write, Base.Pipe, Array{UInt8, 1})"
74532	"Base.Serializer.serialize_array_data(Base.Serializer.#serialize_array_data, Base.Pipe, Array{UInt8, 1})"
138487	"Base.Serializer.serialize(Base.Serializer.#serialize, Base.Serializer.SerializationState{Base.Pipe}, Array{UInt8, 1})"
818407	"Base.Serializer.serialize(Base.Serializer.#serialize, Base.Serializer.SerializationState{Base.Pipe}, Array{Any, 1})"
412182	"Base.Serializer.serialize(Base.Serializer.#serialize, Base.Serializer.SerializationState{Base.Pipe}, Tuple{Symbol, UInt64})"
217796	"Base.unsafe_write(Base.#unsafe_write, Base.Pipe, Base.RefValue{UInt64}, Int64)"
27382	"Base.write(Base.#write, Base.Pipe, UInt64)"
192052	"Base._uv_hook_close(Base.#_uv_hook_close, Base.Process)"
319293	"MbedTLS.f_rng(MbedTLS.#f_rng, Ptr{Void}, Ptr{UInt8}, UInt64)"
415510	"MbedTLS.f_send(MbedTLS.#f_send, Ptr{Void}, Ptr{UInt8}, UInt64)"
215497	"MbedTLS.f_recv(MbedTLS.#f_recv, Ptr{Void}, Ptr{UInt8}, UInt64)"
315509	"MbedTLS.f_dbg(MbedTLS.#f_dbg, Ptr{Void}, Int32, Ptr{UInt8}, Int32, Ptr{UInt8})"
95978	"MbedTLS.__sslinit__(MbedTLS.#__sslinit__)"
238876	"MbedTLS.jl_entropy(MbedTLS.#jl_entropy, Ptr{Void}, Ptr{Void}, UInt64, Ptr{Void})"
52563	"MbedTLS.__init__(MbedTLS.#__init__)"
445019	"HTTP.__init__(HTTP.#__init__)"
155302	"Core.Inference.mk_getfield(Core.Inference.#mk_getfield, GlobalRef, Int64, Type{T<:Any})"
831435	"HTTP.Type(#kw#Type, Array{Any, 1}, Type{HTTP.RequestOptions}, Int64, Bool, Float64, Float64, MbedTLS.SSLConfig, Int64)"
112210	"HTTP.#Client#27(HTTP.##Client#27, Array{Any, 1}, Type{T<:Any})"
507912	"HTTP.Type(Type{HTTP.Client}, Base.TTY, HTTP.RequestOptions)"
430935	"Base.Test.@testset(Base.Test.#@testset, String, Vararg{Any, N<:Any})"
348061	"Base.Test.testset_beginend(Base.Test.#testset_beginend, Tuple{String, Expr}, Expr)"
240972	"Base.Test.parse_testset_args(Base.Test.#parse_testset_args, Tuple{String})"
215111	"Base.uvfinalize(Base.#uvfinalize, Base.Process)"
204671	"Base.uvfinalize(Base.#uvfinalize, Base.PipeEndpoint)"
492818	"Base.Test.get_testset(Base.Test.#get_testset)"
442384	"Base.Test.pop_testset(Base.Test.#pop_testset)"
86911	"Base.length(Base.#length, Array{Base.Test.AbstractTestSet, 1})"
89946	"Base.Test.Type(Type{Base.Test.DefaultTestSet}, String)"
171401	"Base.Test.push_testset(Base.Test.#push_testset, Base.Test.DefaultTestSet)"
